Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2023 [YR2023],2024 [YR2024],2025 [YR2025]
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.8635835308099,98.4044624957692,98.5597948238034,..
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.6371958731303,98.2376383007189,98.409299927655,..
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.2517291129462,98.7474424069608,98.8730876053292,..
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1,98.7,98.5,..
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.4,98.3,98.7,..
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,66.6,66.9,65.1,..
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.3,54.4,55.3,..
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,77,86.4,89.3,..
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,48,55.4,56.6,..
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9850093995461,100,100,..
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9534522262568,100,99.998857471373,..
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9657744725899,100,99.9957431987505,..
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9069194604741,100,99.9976895300598,..
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9881556120147,100,100,..
Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.1,99.3,95.9,..
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.3,94.1,95.1,..
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.1,66.9,69,..
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.5,89.5,91.9,..
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,93,94.4,95.6,..
Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.4,100,90.9,..
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.2,51.1,53.8,..
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,30.9,40.5,43.7,..
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.6,98.9,93,..
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.4,51.3,53.9,..
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.014803870368,50.5208896795623,52.4769402918894,..
High income,HIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9496095685706,99.9883997819596,99.9679657645831,..
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.1,95.6,95.5,..
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.8715752983766,99.0885815861564,99.1710314335576,..
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.5722643080015,90.3195251994939,90.6841858083156,..
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,73.9089088089712,77.9201343756954,78.8148230386128,..
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.7377764694733,61.9225640121999,63.6732469361987,..
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.7746020826155,67.5062058598898,68.9457220651021,..
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.9,99.5,99.9,..
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8,99.4,99.9,..
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9,97.7,97.7,..
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,..
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.7,76.2,77,..
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.3,95.9,97.7,..
"Korea, Dem. People's Rep.",PRK,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.4,57.5,61.4,..
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,..
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.4,96.5,96.5,..
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3289771232339,99.4570958130029,99.5003821979258,..
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.9982113870485,98.4226177308055,98.0459111591331,..
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.9267480324862,98.348001499771,97.9933011133193,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.9522021469941,98.3852491204833,98.0000586906957,..
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,52.8790143070516,58.4334317805897,60.3676703753846,..
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.6,57.3,60.6,..
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.1,32.5,34.9,..
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.5,73.2,77.4,..
Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.0036720417216,89.8583124845854,90.2581392015093,..
Low income,LIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.8440112578434,46.8863791540125,48.8005987231827,..
Lower middle income,LMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.7664523653516,90.5927216759463,91.3581860772078,..
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,31,39.4,42.5,..
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.2,15.6,15.6,..
Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.9,54.5,49.5,..
Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.8,100,97.2,..
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.9,50.3,52.2,..
Mauritius,MUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6,99.7,99.8,..
"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.1,86.9,88.9,..
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.0087072984601,96.4226367435274,96.7736884722286,..
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.6437471934695,96.0854287468734,96.4627415717196,..
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.6135456463624,96.0574946837091,96.4373354708585,..
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.2550308654154,95.1313255374831,95.4429311855908,..
Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Monaco,MCO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Mongolia,MNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9,100,99.1,..
Montenegro,MNE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Morocco,MAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6,100,100,..
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,29.7,36,36.9,..
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.3,76.8,80.4,..
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.3,56.7,59.3,..
Naoero,NRU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.9,94,97.9,..
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
New Caledonia,NCL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.7,88.3,88.7,..
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5,20.1,21.3,..
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.4,61.2,62.5,..
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
North Macedonia,MKD,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Not classified,INX,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.940072384951,99.922945762566,99.9247308566563,..
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8035513133262,94.4954692175265,94.5434268711783,..
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,84.3434350882329,88.8705713618501,88.2672275917394,..
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.9,95.6,95.7,..
Palau,PLW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Panama,PAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.9,97,96,..
Papua New Guinea,PNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.6,20.5,43.3,..
Paraguay,PRY,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,99.8,99.8,..
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.6,96.2,96.5,..
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.3,98,94.8,..
Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9932424627619,100,100,..
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.5849028108597,52.5242986079524,54.321949964552,..
Puerto Rico (US),PRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Romania,ROU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,100,100,..
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.6,63.9,72,..
Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,100,100,..
San Marino,SMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Sao Tome and Principe,STP,Access to electricity (% of population),EG.ELC.ACCS.ZS,75.1,81.3,77.7,..
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.4,74.2,82.9,..
Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,100,100,..
Seychelles,SYC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,22.7,35.5,39.2,..
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Slovenia,SVN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.0919222790738,94.7947483488559,94.5704846062365,..
Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.4,81.3,81.5,..
"Somalia, Fed. Rep.",SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,49.2,50.3,54.4,..
South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,85,87.7,90.2,..
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.4698953988653,99.4087889697405,99.8246424902051,..
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.4698953988653,99.4087889697405,99.8246424902051,..
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.8,5.4,5.4,..
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Sri Lanka,LKA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,100,100,..
St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
St. Vincent and the Grenadines,VCT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.1934897675941,53.2507689805499,55.1103542559,..
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.1889611753106,53.2463204690134,55.1061307522528,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.1934897675941,53.2507689805499,55.1103542559,..
Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,57.6,66,66,..
Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.9,99.6,99,..
Sweden,SWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.2,88.4,89.3,..
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,100,99.9,..
Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,37.7,48.3,52.4,..
Thailand,THA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,..
Timor-Leste,TLS,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.6,100,94.3,..
Togo,TGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,52.5,59.2,61.1,..
Tonga,TON,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.4,100,100,..
Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,98.7,100,..
Tunisia,TUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Turkiye,TUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Turkmenistan,TKM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,..
Turks and Caicos Islands,TCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Tuvalu,TUV,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,100,..
Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.3,51.5,55.3,..
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Upper middle income,UMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1308662220903,99.392898640485,99.3152839959032,..
Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,..
Uzbekistan,UZB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Vanuatu,VUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.5,61.6,65.5,..
"Venezuela, RB",VEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,100,100,..
Viet Nam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,99.8,100,..
Virgin Islands (U.S.),VIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.1089635853778,91.6034762480239,91.9264843853681,..
"Yemen, Rep.",YEM,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.8,83.6,86.3,..
Zambia,ZMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,43,51.1,53.6,..
Zimbabwe,ZWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.7,62,62,..
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 07/13/2026,,,,,,,
